Pregunta,Opción 1,Opción 2,Opción 3,Opción 4
¿Cuál es el planeta más grande del sistema solar?,Júpiter,Saturno,Neptuno,Tierra
¿Quién pintó La Noche Estrellada?,Vincent van Gogh,Pablo Picasso,Claude Monet,Salvador Dalí
¿Cuál es el océano más grande del mundo?,Océano Pacífico,Océano Atlántico,Océano Índico,Océano Ártico
¿Cuál es el elemento químico más abundante en la corteza terrestre?,Oxígeno,Hidrógeno,Silicio,Aluminio
¿En qué año comenzó la Primera Guerra Mundial?,1914,1910,1916,1918
¿Cuál es la capital de Australia?,Canberra,Sídney,Melbourne,Perth
¿Qué instrumento musical tiene 88 teclas?,Piano,Órgano,Acordeón,Sintetizador
¿Cuál es el río más largo del mundo?,Nilo,Amazonas,Yangtsé,Misisipi
¿Quién escribió "Cien años de soledad"?,Gabriel García Márquez,Isabel Allende,Julio Cortázar,Mario Vargas Llosa
¿Cuál es el hueso más largo del cuerpo humano?,Fémur,Tibia,Húmero,Columna vertebral